neighbourhood,year,incident_count,level
Arbutus Ridge,2003,28,0-99
Arbutus Ridge,2004,16,0-99
Arbutus Ridge,2005,23,0-99
Arbutus Ridge,2006,29,0-99
Arbutus Ridge,2007,25,0-99
Arbutus Ridge,2008,26,0-99
Arbutus Ridge,2009,18,0-99
Arbutus Ridge,2010,22,0-99
Arbutus Ridge,2011,11,0-99
Arbutus Ridge,2012,15,0-99
Arbutus Ridge,2013,16,0-99
Arbutus Ridge,2014,14,0-99
Arbutus Ridge,2015,15,0-99
Arbutus Ridge,2016,13,0-99
Arbutus Ridge,2017,7,0-99
Arbutus Ridge,2018,11,0-99
Arbutus Ridge,2019,18,0-99
Arbutus Ridge,2020,15,0-99
Arbutus Ridge,2021,11,0-99
Arbutus Ridge,2022,26,0-99
Arbutus Ridge,2023,13,0-99
Arbutus Ridge,2024,17,0-99
Arbutus Ridge,2025,14,0-99
Central Business District,2003,789,500-999
Central Business District,2004,827,500-999
Central Business District,2005,887,500-999
Central Business District,2006,1064,1000+
Central Business District,2007,1144,1000+
Central Business District,2008,1177,1000+
Central Business District,2009,1118,1000+
Central Business District,2010,1049,1000+
Central Business District,2011,1168,1000+
Central Business District,2012,1152,1000+
Central Business District,2013,1101,1000+
Central Business District,2014,937,500-999
Central Business District,2015,994,500-999
Central Business District,2016,1041,1000+
Central Business District,2017,1005,1000+
Central Business District,2018,1018,1000+
Central Business District,2019,1266,1000+
Central Business District,2020,1275,1000+
Central Business District,2021,1286,1000+
Central Business District,2022,1431,1000+
Central Business District,2023,1444,1000+
Central Business District,2024,1400,1000+
Central Business District,2025,1016,1000+
Dunbar-Southlands,2003,18,0-99
Dunbar-Southlands,2004,26,0-99
Dunbar-Southlands,2005,27,0-99
Dunbar-Southlands,2006,24,0-99
Dunbar-Southlands,2007,24,0-99
Dunbar-Southlands,2008,24,0-99
Dunbar-Southlands,2009,22,0-99
Dunbar-Southlands,2010,17,0-99
Dunbar-Southlands,2011,9,0-99
Dunbar-Southlands,2012,19,0-99
Dunbar-Southlands,2013,16,0-99
Dunbar-Southlands,2014,12,0-99
Dunbar-Southlands,2015,23,0-99
Dunbar-Southlands,2016,10,0-99
Dunbar-Southlands,2017,15,0-99
Dunbar-Southlands,2018,17,0-99
Dunbar-Southlands,2019,16,0-99
Dunbar-Southlands,2020,21,0-99
Dunbar-Southlands,2021,23,0-99
Dunbar-Southlands,2022,17,0-99
Dunbar-Southlands,2023,35,0-99
Dunbar-Southlands,2024,11,0-99
Dunbar-Southlands,2025,29,0-99
Fairview,2003,107,100-499
Fairview,2004,117,100-499
Fairview,2005,109,100-499
Fairview,2006,101,100-499
Fairview,2007,123,100-499
Fairview,2008,104,100-499
Fairview,2009,107,100-499
Fairview,2010,101,100-499
Fairview,2011,88,0-99
Fairview,2012,82,0-99
Fairview,2013,89,0-99
Fairview,2014,86,0-99
Fairview,2015,71,0-99
Fairview,2016,89,0-99
Fairview,2017,85,0-99
Fairview,2018,70,0-99
Fairview,2019,80,0-99
Fairview,2020,90,0-99
Fairview,2021,101,100-499
Fairview,2022,96,0-99
Fairview,2023,112,100-499
Fairview,2024,81,0-99
Fairview,2025,78,0-99
Grandview-Woodland,2003,397,100-499
Grandview-Woodland,2004,386,100-499
Grandview-Woodland,2005,408,100-499
Grandview-Woodland,2006,428,100-499
Grandview-Woodland,2007,469,100-499
Grandview-Woodland,2008,359,100-499
Grandview-Woodland,2009,320,100-499
Grandview-Woodland,2010,325,100-499
Grandview-Woodland,2011,333,100-499
Grandview-Woodland,2012,287,100-499
Grandview-Woodland,2013,285,100-499
Grandview-Woodland,2014,232,100-499
Grandview-Woodland,2015,286,100-499
Grandview-Woodland,2016,218,100-499
Grandview-Woodland,2017,186,100-499
Grandview-Woodland,2018,210,100-499
Grandview-Woodland,2019,194,100-499
Grandview-Woodland,2020,242,100-499
Grandview-Woodland,2021,203,100-499
Grandview-Woodland,2022,231,100-499
Grandview-Woodland,2023,275,100-499
Grandview-Woodland,2024,250,100-499
Grandview-Woodland,2025,202,100-499
Hastings-Sunrise,2003,128,100-499
Hastings-Sunrise,2004,123,100-499
Hastings-Sunrise,2005,120,100-499
Hastings-Sunrise,2006,145,100-499
Hastings-Sunrise,2007,122,100-499
Hastings-Sunrise,2008,107,100-499
Hastings-Sunrise,2009,132,100-499
Hastings-Sunrise,2010,120,100-499
Hastings-Sunrise,2011,111,100-499
Hastings-Sunrise,2012,122,100-499
Hastings-Sunrise,2013,128,100-499
Hastings-Sunrise,2014,87,0-99
Hastings-Sunrise,2015,91,0-99
Hastings-Sunrise,2016,90,0-99
Hastings-Sunrise,2017,87,0-99
Hastings-Sunrise,2018,93,0-99
Hastings-Sunrise,2019,89,0-99
Hastings-Sunrise,2020,99,0-99
Hastings-Sunrise,2021,94,0-99
Hastings-Sunrise,2022,100,100-499
